StatusID,CompanyID,ItemID,ItemName,CurrentStock,SalesVelocity30d,IsUnderstock,IsOverstock,IsPopular,DaysOfStock,ReorderLevel,StockValue,LastSaleDate,LastPurchaseDate,CreatedAt,UpdatedAt
ISS-0001,COMP-0001,ITM-0001_COMP-0001,iPhone 15,24,8,FALSE,FALSE,TRUE,2,15,1092000,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0002,COMP-0001,ITM-0002_COMP-0001,Samsung S24,74,7,FALSE,TRUE,TRUE,10,15,2849000,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0003,COMP-0001,ITM-0003_COMP-0001,OnePlus 12,0,8,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0004,COMP-0001,ITM-0004_COMP-0001,Dell XPS 15,0,10,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0005,COMP-0001,ITM-0005_COMP-0001,HP Pavilion,7,7,TRUE,FALSE,TRUE,0,15,269500,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0006,COMP-0001,ITM-0006_COMP-0001,Cotton Silk Saree,7,6,TRUE,FALSE,TRUE,1,15,17150,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0007,COMP-0001,ITM-0007_COMP-0001,Pure Silk Saree,23,10,FALSE,FALSE,TRUE,2,15,161000,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0008,COMP-0001,ITM-0008_COMP-0001,Cotton Shirt,66,6,FALSE,TRUE,TRUE,10,15,41580,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0009,COMP-0001,ITM-0009_COMP-0001,Jeans Pant,3,5,TRUE,FALSE,TRUE,0,15,3150,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0010,COMP-0002,ITM-0001_COMP-0002,iPhone 15,0,11,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0011,COMP-0002,ITM-0002_COMP-0002,Samsung S24,0,10,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0012,COMP-0002,ITM-0003_COMP-0002,OnePlus 12,6,7,TRUE,FALSE,TRUE,0,15,176394,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0013,COMP-0002,ITM-0004_COMP-0002,Dell XPS 15,0,9,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0014,COMP-0002,ITM-0005_COMP-0002,HP Pavilion,0,7,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0015,COMP-0002,ITM-0006_COMP-0002,Cotton Silk Saree,19,5,FALSE,FALSE,TRUE,3,15,46550,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0016,COMP-0002,ITM-0007_COMP-0002,Pure Silk Saree,33,2,FALSE,FALSE,FALSE,12,15,231000,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0017,COMP-0002,ITM-0008_COMP-0002,Cotton Shirt,0,12,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0018,COMP-0002,ITM-0009_COMP-0002,Jeans Pant,0,6,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0019,COMP-0003,ITM-0001_COMP-0003,iPhone 15,0,10,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0020,COMP-0003,ITM-0002_COMP-0003,Samsung S24,0,7,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
ISS-0021,COMP-0003,ITM-0003_COMP-0003,OnePlus 12,0,7,TRUE,FALSE,TRUE,0,15,0,2024-04-28,2024-04-20,2024-05-01 08:00:00,2024-05-01 08:00:00
